# lang=ro
cat	floor (storey)
ostășește	soldierly
ovreiește	Jewishly
papagalicește	like a parrot
penalicește	in a penal matter
pescărește	like a fisher
pieptiș	abruptly
pisicește	like a cat
plugărește	like a ploughman
politicește	politically
popește	priestly
preoțește	priestly
prostește	foolishly
psihologicește	psychologically
pungășește	like a thief
pustnicește	like a hermit
păcurărește	shepherdly
păgânește	heathenishly
slavonește	in Slavonic language
slovenește	in Slovenian language
soldățește	soldierlike
spiritualicește	spiritually
strămoșește	anciently
sârbește	in Serbian language
tehnicește	technically
teoreticește	theoretically
ticăloșește	like a villain
trupește	bodily
tâlhărește	like a robber
tătărește	in Tatar language
vitejește	heroically
voinicește	heroically
volintirește	willingly
vulpește	foxly
vulturește	like a vulture or eagle
înțelepțește	wisely
șoimește	like a falcon
șoricește	like a mouse
științificește	scientifically
angro	wholesale
aproximativ	approximately
ciobănește	like a shepherd
cocoșește	like a rooster
călărește	like a rider
cărăușește	in the manner of a carrier
dobitocește	like a beast
domnește	kingly
economicește	economically
eminamente	eminently
forțamente	necessarily
fulgerește	like a flash
funciarmente	fundamentally
hoțiș	thiefly
hoțomănește	like a thief
juridicește	legally
lăcomește	greedily
mașinalicește	like a machine
moșnegește	like an old man
muncitorește	like a worker
muntenește	like a Wallachian
muscălește	like a Muscovite
mutește	mutely
măiestrește	like a master craftsman
necesarmente	necessarily
neghiobește	foolishly
nerozește	stupidly
papistășește	like a papist
potlogărește	like a crook
pravilicește	legally
precizamente	precisely
păsărește	birdly
simplamente	simply
studențește	like a student
sărbătorește	celebratorily
săsește	in the Saxon language
vizavi	opposite
vrăjmășește	like an enemy
vânătorește	like a hunter
școlărește	like a pupil
șerpește	like a snake
șmecherește	like a trickster
șvăbește	Swabian language
activizare	hurrying
acționare	operation
alăptare	breastfeeding, lactation
alăturare	joining, annexation
anchetare	investigation
aprețuire	appreciation
asibilare	assibilation
autoacuzare	self-accusation
categorisire	categorization
caustificare	caustification
clasare	classification
complexificare	complexification
conlocuire	cohabitation
conlucrare	cooperation
containerizare	containerization
crenelare	crenellation
cretinizare	cretinization
creștinare	Christianization
curățare	cleaning
curățare	purification
decapsulare	decapsulation
declorizare	dechlorination
decolonizare	decolonization
decompensare	decompensation
deconsolidare	deconsolidation
decontractare	relaxation
defeminizare	defeminization
defibrare	defibration
definitivare	finalization
defăimare	defamation
dejucare	thwarting, obstruction, frustration
demisionare	resignation
demultiplicare	demultiplication
denunțare	denunciation
depalatalizare	depalatalization
deparazitare	disinfestation
depolitizare	depoliticization
depunctare	removing points, penalty
desdăunare	compensation
desfrânare	fornication
deshidrogenare	dehydrogenation
desolidarizare	dissociation
desproprietărire	expropriation
destabilizare	destabilization
destindere	relaxation
desulfurare	desulphurisation
detensionare	relaxation
detunare	detonation
devitalizare	devitalization
dezaglomerare	deglomeration
dezangrenare	degeneration
dezasimilare	disassimilation
dezgrădire	degradation
dezincriminare	decriminalization
dezindividualizare	deindividualization
dezinfestare	disinfestation
dezinformare	disinformation, misinformation
dezinsectizare	disinsectization
deznaționalizare	denationalization
dezobișnuire	habituation
dezorientare	disorientation
dezoxidare	deoxidation
dezrobire	emancipation
dezumanizare	dehumanization
dezumflare	deflation
dezvinovățire	exoneration
dezvinuire	exonerate
dezvirginare	defloration
diferențiere	differentiation
disprețuire	depreciation
drămăluire	skimping
dăinuire	perpetuation
echivalare	equivalation
egalare	equation
extravazare	extravasation
fetișizare	fetishization
flămânzire	starvation
formolizare	treating with formaldehyde
francare	stamping
frazare	phrasing
fricționare	embrocation
fundarisire	anchorage
insolubilizare	insolubilization
jertfire	sacrifice
jertfire	immolation
limpezire	clarification
lărmuire	uproar, noise
moleșire	lethargy
motroșire	search
măcăire	quacking
năbușire	suffocation
nădușire	sweating
odorizare	odorization
opacizare	opacification
osândire	condemnation
ovalizare	ovalization
ovaționare	ovation
plasticizare	plasticization
pregetare	hesitation
pripășire	taking shelter
probăluire	tentative
proslăvire	glorification
prăznuire	religious celebration
puncționare	punctuation
punere	application
reasociere	reassociation
recomentare	recommendation
refecare	hemstitch
reinterogare	reinterrogation
reliefare	accentuation
remilitarizare	remilitarization
repaginare	repagination
restatornicire	restoration
retraducere	retranslation
rezinificare	resinification
reîncadrare	reclassification
reînsuflețire	revivification
reîntregire	reunification
românizare	Romanization
rotacizare	rotation
răstălmăcire	interpretation
răzbatere	penetration
salubrizare	sanitation
schematizare	schematization
schilodire	mutilation
scornire	fabrication
scrântire	dislocation
semnalizare	signalization
sentimentalizare	sentimentalization
sesizare	notification
sfințire	consecration
slavizare	Slavization
sleire	emaciation
slăvire	glorification
socotire	calculation
spațializare	spatialization
spațiere	indentation
specializare	specialization
spiritualizare	spiritualization
standardizare	standardization
statornicire	fixation
sterilizare	sterilization
stilizare	stylization
subordonare	subordination
substantivizare	substantivization
subtilizare	subtilization
subîntindere	delimitation of an arc
subțiere	thinning
sufocare	suffocation
sulfurizare	sulfurization
supraestimare	overestimation
supraevaluare	overvaluation
suprapopulare	overpopulation
sădire	plantation
sălbăticire	wilding
sălbăticire	brutalization
sărbătorire	celebration
tehnicizare	technicalization
terorizare	terrorization
trepădare	trepidation
troncănire	truncation
tămâiere	incensing
tărăgănare	procrastination
valorificare	capitalization
zețuire	typesetting
zimțuire	indentation
zădărnicire	thwarting, foiling
împestrițare	variegation
împroprietărire	becoming an owner
împăienjenire	becoming cobwebby
încetinire	slowing
încetinire	retardation
încolonare	forming a column
încondeiere	decoration
îndemnare	exhortation
îndocare	indoctrination
îndrăcire	demonization
înglobare	incorporation
înnămolire	siltation
înspițare	temptation
întrolocare	relocation
înveselire	exhilaration
amărâre	bitterness
consimțire	willingness
conștientizare	awareness
copleșire	heaviness
descompletare	incompleteness
deszăpezire	snow removal
deszăvorâre	unlocking
detorsionare	distort
detronare	dethronement
deturnare	embezzlement
devalizare	robbing
developare	development
dezamorsare	defuse
dezanexare	detachment
dezangajare	disengagement
dezaprobare	disapproval
dezasamblare	disassembly
dezaxare	misalignment
dezbatere	debate
dezinteresare	disinterestedness
etajare	flooring
greblare	raking
grizare	graying
gâgâire	gurgling
gâlcevire	quarrel
gângurire	babbling
gângăvire	stammer
harnașare	harness
lucire	glimmer, glow
nebunire	madness
năucire	dizziness
îmbolnăvire	illness
încremenire	stillness
încrâncenare	bitterness
înduioșare	tenderness
înnebunire	madness
înroșire	redness
însingurare	loneliness
întregire	completeness
înviorare	becoming fresh
absorbire	absorption
abstractizare	abstraction
aburire	steaming
aciuare	sheltering
acoperire	covering
acuplare	coupling
aducere	bringing
adâncire	deepening
adăpare	watering
adăugare	adding
albire	whitening
albăstrire	blueing
alergare	running
altoire	grafting
alungare	chasing
amanetare	pawning
ambuteiere	jamming
anchilozare	stiffening
anunțare	announcing
aranjare	arranging
arcuire	arching
argăsire	tanning
arămire	coppering
arătare	showing
arătare	creature
asemuire	likening
astupare	plugging
asudare	sweating
atribuire	assigning
aurire	gilding
așternere	bedding
betonare	concreting
biciuire	whipping
blagoslovire	blessing
blamare	blaming
boicotare	boycotting
bolborosire	stammering
bombănire	mumbling
ciripire	chirping
ciufulire	ruffling
clocotire	boiling
cocsificare	coking
concasare	breaking
condiționare	conditioning
contorizare	metering
cracare	cracking
cramponare	clinging
creditare	lending
croșetare	crocheting
cruțare	sparing
cuibărire	nesting
culisare	sliding
cuplare	coupling
cutezare	daring
cârpire	patching
decroșare	unhooking
decupare	cutting
defrișare	clearing
degazare	degassing
degazificare	degassing
deminare	mine-clearing
deparafinare	dewaxing
descojire	peeling
desigilare	unsealing
deslușire	understanding
despachetare	unpacking
despuiere	stripping
despăturire	unfolding
destupare	uncorking
dezbrăcare	undressing
dezechipare	undressing
deznisipare	desanding
deznodare	untying
dezodorizare	deodorizing
dezosare	deboning
dezrădăcinare	uprooting
dezrăsucire	untwisting
deșosare	deboning
direcționare	targeting
dispunere	arrangement
dispunere	disposing
dispunere	disposal
drapare	draping
dărâmare	collapse, demolishing
ecranizare	screening
favorizare	favoring
golire	emptying
mocnire	smoldering
parafrazare	paraphrasing
parașutare	skydive
pardosire	flooring
butășire	cutting
pișcare	biting
plasare	placing
pledare	pleading
plombare	filling
plugărire	plowing
plumbuire	plumbing
plănuire	planning
presare	pressing
preschimbare	exchanging
presărare	sprinkling
prăfuire	dusting
prăsire	plowing
pârlire	scorching
păstorire	shepherding
pățire	suffering
radiobalizare	radio beaconing
radioficare	radio broadcasting
raționare	reasoning
recolorare	recoloring
recompartimentare	repartitioning
recondiționare	reconditioning
recopiere	recopying
redeschidere	reopening
reechilibrare	rebalancing
reexpediere	forwarding
referire	referring
regizare	directing
regrupare	regrouping
regândire	rethinking
repopulare	restocking
repovestire	retelling
reprofilare	reshaping
rescriere	rewriting
retrăire	reliving
revoluționare	revolutionizing
revopsire	repainting
reînchiriere	subletting
reîncălzire	reheating
reșarjare	recharging
rigidizare	stiffening
roadere	gnawing
roire	swarming
roire	colonization of new lands
ronțăire	gnawing
rostogolire	rolling
rotunjire	rounding
rărire	thinning
rărițare	thinning
răsfirare	scattering
răsfoire	browsing
răsădire	seedling
rătăcire	wandering
răzuire	scraping
sablare	sanding
salvgardare	safeguarding
schingiuire	torturing
scopire	gelding
scufundare	diving
sculptare	carving
semnare	signing
semănare	sowing
sforăire	snoring
sfârâire	sizzling
sifonare	siphoning
spintecare	splitting
spălăcire	discolorating
staționare	parking
structurare	structuring
străbatere	crossing
strănutare	sneezing
sughițare	hiccupping
superfinisare	superfinishing
supraaglomerare	overcrowding
supradimensionare	oversizing
supraîncălzire	overheating
sângerare	bleeding
sâsâire	sizzling
săpare	digging
săpunire	soaping
sărare	salting
săvârșire	committing, perpetration
împăiere	stuffing
împănare	stuffing
încredințare	entrusting
îndesire	thickening
înfulecare	swallowing
înfuriat	infuriated
înghiontire	nudging
înglobat	embedded
înmuiat	softened
înnodat	knotted
înrădăcinat	rooted
înscăunat	enthroned
înspăimântat	frightened
întemnițat	imprisoned
întraripat	winged
întredeschidere	half-opening
întronat	enthroned
întârziat	delayed
înveșmântat	dressed
înviforat	invigorated
învigorat	invigorated
învălurat	wrapped
înălțat	elevated
înșeuat	saddled
înștiințat	notified
înțărcat	weaned
șablonizat	patterned
școlarizare	schooling
școlire	schooling
șeruire	waxing
șifonare	wrinkling
șifonat	wrinkled
șocat	shocked
șoselat	paved
ștampilat	stamped
ștanțat	stamped
șurubuire	screwing
șâșâire	hissing
abținere	abstention
apostolește	walking by foot
apostolicește	walking by foot
arendare	the act of leasing, usually in reference to agricultural land
arendare	the act of granting a lease, usually in reference to agricultural land
asumare	assumption
brodare	embroidery
compunere	composition
condamnare	conviction
confecționare	confection
contrabalansare	counterbalance
călăuzire	guidance
degajare	clearance
deranjare	disturbance
destrăbălare	debauchery
dezechilibrare	imbalance
dezinhibare	disinhibition
dezmoștenire	disinheritance
deșertare	depletion
diluare	dilution
electrocauterizare	electrocautery
fulguire	snowing
furajare	feeding
garare	garaging
iobăgire	servitude
iradiere	irradiance
isprăvire	completion
jefuire	robbery
lezare	injury
liniștire	reassurance
livrare	delivery
măgulire	flattery
nuanțare	adding nuance
nuanțare	tinting
nuntire	wedding
năpârlire	moulting
năzuire	longing
ocrotire	protection, sheltering
parodiere	mockery
plafonare	capping
planimetrare	planimetry
pliere	folding
plămădire	molding
pocăire	repentance
povestire	story
povățuire	advising
precumpănire	preponderance
predispunere	predisposition
prezumare	presumption
preîntâmpinare	prevention
prigonire	persecution
prognozare	forecasting
propovăduire	preaching
prostire	dupery
păcălire	trickery
pălmuire	slapping
radioghidare	radio guidance
reasigurare	reinsurance
recepționare	reception
recucerire	reconquest
recântărire	weighting again
remaniere	reshuffling
reordonare	reordering
reînșurubare	screwing again
răcire	cooling
rănire	injury
răsunare	resonance
scrâșnire	grinding
scutire	exemption
secționare	section
selecționare	selection
semnificare	significance
soluționare	resolution
spumegare	foaming
spunere	saying
stivuire	stacking
stâlcire	crushing
substituire	substitution
subsumare	subsumption
suferire	suffering
sugerare	suggestion
supraveghere	surveillance
surpare	crumbling, cracking
tatonare	probing
tranșare	cutting
trântire	slamming
târguire	bargaining
împotrivire	resistance
împovărare	burdening
împăturire	folding
încastrare	embedding
încifrare	encryption
încleiere	pasting
încrețire	wrinkling
încruntare	frown
încuibare	nesting
încuiere	locking
încumetare	daring
încununare	crowning
încuviințare	permission
îndrumare	guidance
înhumare	burial
înmiresmare	fragrance
înnoroire	mudding; covering with mud
înrudire	kinship
însănătoșire	recovery
întocmire	making
întretăiere	crossing
întreținere	maintenance
învingere	victory
înzestrare	endowment
șmecherire	trickery
șparlire	theft
șușotire	whispering
agabaritic	overweight cargo
albăstriță	cornflower
alergător	runner
alintat	spoilt
alungit	elongate
antifurt	antitheft
bisilabic	dissyllabic
bocitor	howler
gazetăresc	journalistic
clarviziune	clairvoyance
clocitoare	broody hen
coborâș	slope
cocleală	verdigris
colindat	wandering
colindat	carolling
condamnat	convict
confrate	colleague
consimțământ	consent
cămășuică	chemisette
căpătat	acquired
deputăție	deputation
dereticat	cleaning
descălțat	barefoot
descărcat	unloaded
desenat	drawn
desime	density
destoinicie	competence
dezordine	disorder
dezumflat	deflated
deșteptat	awake
dibuială	fumbling
dijmaș	sharecropper
dirijor	conductor
distonanță	disagreement
neajuns	shortcoming
neclintire	firmness
negândit	unthinking
neomenie	brutality
nesaț	greed
schimbat	changed
schimbător	gearstick
schimbător	fickle person
semiîntuneric	shade
sfinție	holiness
sincronizator	synchronizer
sortat	sorted
subordin	suborder
sulițaș	pikeman
supralumină	fanlight
surpătură	crack
susținător	supporter
toropeală	torpor
traforaj	fretwork
treierat	threshing
trăsnaie	mischief
tăvălug	roller
vagonetar	haulier
vopsitorie	dye house
vălmășag	bustle
șopârlaiță	diphtheria
șuierătură	swish
țicneală	folly
țărănie	rusticity
țărănie	rudeness
casap	butcher
bogătaș	rich man
cavalerime	chivalry
comoștenitor	parcener, coheir
copilandru	preteen boy
coțcărie	swindle
cârpeală	botch
cățelandru	whelp
delăsător	negligent person
fazanerie	pheasantry
fundac	diver
fățărnicie	hypocrisy
gingășie	tenderness
gogomănie	stupidity
iernat	wintering
mândrețe	beauty
negustorie	trade
ocnaș	convict
ocoliș	roundabout way
ospeție	hospitality
oștean	soldier
papistășie	popery
pedestraș	infantry man
picățea	speckle
postăvărie	drapery
potrivnicie	hostility
precădere	priority
preoțime	priesthood
privință	regard
pruncucigaș	infanticider
prăvăliaș	shopkeeper
pungășie	swindle
păstrat	reserved
pășunat	pasturage
repeziș	river rapid
retezat	cut off
răcitor	cooler
scuturat	shaken
semeție	haughtiness
seminție	tribe
semnat	; signed
semnat	signing
semănat	sowed
sfănțuială	bribing
sfărâmat	broken
slujbaș	clerk
sluțenie	ugliness
spânzurat	hanged person
șefie	leadership
șelărie	saddlery
șiretenie	cunningness
șlefuitor	grinder
țepușă	sharp stick
țepușă	thorn
contraspionaj	counterespionage
corupător	corrupter
culcat	recumbent
cuvioșie	devotion
frânat	brake
guițat	pig squeal
vinețea	cornflower
vârtoșie	vigor
gigea	nice, cute, pretty
nurliu	charming, attractive
peltic	stutterer, person having a lisp
pirpiriu	thin, short
mucalit	a funny person, a joker
mucalitlâc	joke, funny story
ursuz	surly
doldora	chockfull
sacâz	rosin
curmeziș	across, crosswise, aslant, slanting
sugiuc	sujuk, sausage
procentual	percentage
profesionist	professional
programatic	programmatic
bioacustic	bioacoustic
hanseatic	Hanseatic
rabinic	rabbinic, rabbinical
umanistic	humanistic
șuco	Schuko socket
șvab	Swabian
șvab	Swabian
detectivistic	detective
național-socialist	National Socialist
acvatubular	water pipe for steam boilers
bicarpelar	bicarpellary (having two carpels)
antirevoluționar	anti-revolutionary
balnear	balneary
bugetar	budgetary
bugetar	state employee, civil servant
cavitar	cavitary
concreționar	concretionary
culinar	culinary
cutumiar	customary
discreționar	discretionary
ereditar	hereditary
expediționar	expeditionary
extrastatutar	extra-statutory
facționar	factionary
fiduciar	fiduciary
fitosanitar	phytosanitary
genito-urinar	genitourinary
geostaționar	geostationary
hipofizar	hypophysial, pituitary
intercapilar	intercapillary
interparlamentar	interparliamentary
involuntar	involuntary
mortuar	mortuary
nobiliar	nobiliary
reacționar	reactionary
sedentar	sedentary
septenar	septenary
somptuar	sumptuary
statutar	statutory
tegumentar	tegumentary
terțiar	tertiary
testamentar	testamentary
vizionar	visionary
aluvionar	alluvial
ambulacrar	ambulacral
comunitar	communitarian
divizionar	divisional
egalitar	egalitarian
extrajudiciar	extrajudicial
fracționar	fractional
imobiliar	real estate
postglaciar	postglacial
preglaciar	preglacial
princiar	princely
reziduar	residual
selenar	selenian
subdivizionar	subdivisional
suplimentar	additional
totalitar	totalitarian
trinitar	Trinitarian
umanitar	humanitarian
utilitar	utilitarian
autoritar	authoritarian
cenzitar	censitary
coliniar	collinear
extraparlamentar	extraparliamentary
interliniar	interlinear
interstelar	interstellar
lombar	lumbar
poliarticular	polyarticular
prestelar	prestellar
rectiliniar	rectilinear
semiauxiliar	semiauxiliary
tabelar	tabular
vezicular	vesicular
asexuat	asexual
bisexuat	bisexual
concentraționar	concentration camp
derizoriu	ridiculous, trivial
alogam	allogamous
alohton	allochthonous
anhidru	anhydrous
argentifer	argentiferous
argilifer	argilliferous
asincron	asynchronous
bulbifer	bulbiferous
cadmifer	cadmiferous
calcifer	calciferous
capsulifer	capsuliferous
chilifer	chyliferous
contiguu	contiguous
cutanat	cutaneous
diafan	diaphanous
diamantifer	diamondiferous
discontinuu	discontinuous
farinaceu	farinaceous
florifer	floriferous
foliaceu	foliaceous
frugivor	frugivorous
glabru	glabrous
hemofag	hemophagous
heterogam	heterogamous
higrofil	hygrophilous
homocron	homochronous
afectuos	affectionate
alegru	cheerful
asimptotic	asymptotic
bronhic	bronchial
capricios	whimsical
ceremonios	ceremonious
defectuos	faulty
dizgrațios	disgraceful
dodecaedric	dodecahedral
electrotermic	electrothermal
fraudulos	fraudulent
fructuos	fruitful
geotermic	geothermal
heptaedric	heptahedral
hexaedric	hexahedral
indisciplinat	unruly
infructuos	unsuccessful
inobservabil	inconspicuous
interșcolar	interschool
inuzitat	unusual
izocron	isochronous
izoedric	isohedral
luxurios	lustful
mentolat	minty
metalifer	metalliferous
mezodermic	mesodermal
micaceu	micaceous
nectarifer	nectareous
notoriu	notorious
obsecvent	obsequious
octaedric	octahedral
oleifer	oleiferous
omofon	homophonous
ostentatoriu	ostentatious
pansiv	thoughtful
periferic	peripheral
petrolifer	petroliferous
piscivor	piscivorous
platinifer	platiniferous
poliedric	polyhedral
polifag	polyphagous
prognat	prognathous
pultaceu	pultaceous
pusilanim	pusillanimous
radicivor	radicivorous
radifer	radiferous
reproșabil	reproachful
respectuos	respectful
romboedric	rhombohedral
rupicol	rupicolous
salifer	saliferous
scoriaceu	scoriaceous
sebaceu	sebaceous
selenifer	seleniferous
seminifer	seminiferous
serviabil	helpful
sincron	synchronous
spiralat	spiral
staminifer	staminiferous
streptococic	streptococcal
stresant	stressful
tericol	terricolous
termic	thermal
tetraedric	tetrahedral
timorat	timid
ubicvist	ubiquitous
unisexuat	unisexual
univoc	unambiguous
urinifer	uriniferous
latanier	palmetto
ambroziac	ambrosial
anticomunist	anticommunist
antiinflaționist	antiinflation
antimonarhist	antimonarchist
antiparalel	antiparallel
antirezonant	antiresonant
antitanc	antitank
antișoc	antishock
arboricol	arboreal
asiduu	assiduous
belicist	warmonger
beligerant	belligerent
benevol	voluntary
biconcav	biconcave
bilingv	bilingual
bilingv	bilingual
circumterestru	circumterrestrial
coccigian	coccygeal
coroidian	choroidal
cranian	cranial
defavorabil	detrimental
delictuos	criminal
deluzoriu	delusional
dionisiac	Dionysian
educativ	educational
esofagian	esophageal
extraretinian	extraretinal
extrinsec	extrinsical
faringian	pharyngeal
floricol	floricultural
fluviatil	fluvial
glosofaringian	glossopharyngeal
horticol	horticultural
insolit	unusual
intracranian	intracranial
intrarahidian	intraspinal
izogon	isogonal
laringian	laryngeal
memorativ	memorial
meningian	meningeal
metacarpian	metacarpal
monolingv	monolingual
paludean	malarial
paradiziac	paradisaical
paroxistic	paroxysmal
radioopac	radiopaque
rahidian	spinal
retinian	retinal
sezonier	seasonal
silvicol	silvicultural
tarsian	tarsal
trahean	tracheal
trilingv	trilingual
uniax	uniaxial
unilingv	unilingual
acrescent	accrescent
aferent	afferent
briant	brilliant
complezent	complaisant
concomitent	concomitant
convenabil	convenient
decurent	decurrent
delicvescent	deliquescent
disonant	dissonant
echidistant	equidistant
echipolent	equipollent
eferent	efferent
eflorescent	efflorescent
efluent	effluent
elocvent	eloquent, articulate
euforizant	euphoriant
ezitant	reluctant
flamboaiant	flamboyant
flotabil	buoyant
fotoluminescent	photoluminescent
grandilocvent	grandiloquent
imanent	immanent
incoerent	incoherent
inconvenabil	inconvenient
insolvabil	insolvent
iradiant	irradiant
ireverențios	irreverent
nebeligerant	nonbelligerent
odorific	fragrant
polivalent	polyvalent
preponderent	preponderant
proeminent	prominent
recurent	recurrent
rezistent	resistant
rezolutiv	resolvent
rezonant	resonant
semiaderent	semiadherent
semnificativ	significant
subsecvent	subsequent
termoluminescent	thermoluminescent
tranșant	trenchant
triumfător	triumphant
unguligrad	unguligrade
vezicant	vesicant
anticipativ	anticipatory
asertoric	assertory
bicefal	bicephalous
compensativ	compensatory
condamnabil	blameworthy
confirmativ	confirmatory
contemporan	contemporary
contentiv	supporting an organ in place
contributiv	contributory
convolut	convoluted
coraligen	coralligenous
coronarian	coronary
cvadripartit	quadripartite
cvadruplu	quadruple
cvintuplu	quintuple
declarativ	declaratory
deflaționist	deflationary
depreciativ	deprecatory
desuet	outdated, obsolete
dezarmant	disarming
dezordonat	messy
endoparazit	endoparasitic
etnobotanic	ethnobotanical
exclamativ	exclamatory
expeditiv	expeditious
exponențial	exponential
extrasenzorial	extrasensory
fantomatic	ghostly
fenotipic	phenotypical
fictiv	fictitious
fotosensibil	photosensitive
impasibil	impassive
imund	filthy
inactual	untimely
incomparabil	incomparable
indelebil	indelible
ineficace	ineffective
inflamator	inflammatory
inoxidabil	rustproof
insalubru	unhealthy
insensibil	insensitive
intențional	intentional
irefutabil	irrefutable
iugoslav	Yugoslav
jurnalier	daily
justificativ	justificatory
lacrimogen	lachrymatory
languros	languorous
laudativ	complimentary
machiavelic	Machiavellian
malițios	malicious
mașinal	mechanical
mozartian	Mozartian
obsedant	obsessive
obtuz	obtuse
ofensant	offensive
olfactiv	olfactory
olimpian	Olympian
onorific	honorary
operatoriu	operative
oprimant	oppressive
ostensibil	conspicuous
parcimonios	stingily
participativ	participatory
perlat	pearly
postoperatoriu	postoperative
precolumbian	pre-Columbian
preferabil	preferable
preoperatoriu	preoperative
prohibitoriu	prohibitive
psihologist	psychologist
pulsatil	pulsatile
rahitic	rickety
reacțional	reactionary
regretabil	unfortunate
remuneratoriu	remunerative
reparatoriu	reparative
reproducător	reproductive
respectiv	respectively
spongios	spongy
sporogen	sporogenous
suculent	juicy
supletiv	auxiliary
teluric	earthly
temerar	bold, audacious
terigen	terrigenous
termosensibil	thermosensitive
tradiționalist	traditionalist
tripartit	tripartite
turcoaz	turquoise
unanim	unanimous
voluminos	bulky
afirmativ	affirmative
calcifil	calcicole
criofil	cryophile
halofil	halophile
heliofil	heliophile
maximafil	maximaphile
microfil	microphile
mirmecofil	myrmecophile
pelasgic	Pelasgian
personificator	personifying
petrofil	petrophile
reofil	rheophile
siderofil	siderophile
abiogen	abiogenic
acrilic	acrylic
acrimonios	acrimonious
aerofilatelic	aerophilatelic
antropocentric	anthropocentric
coprofag	coprophagous
creofag	creophagous
criogenic	cryogenic
dezonorant	dishonorable
embrionar	embryonic
hipofag	hippophagous
impenetrant	impenetrable
incomod	uncomfortable
inospitalier	inhospitable
litofag	lithophagous
mirmecofag	myrmecophagous
omofag	omophagous
ospitalier	hospitable
piritos	pyritic
piroclastic	pyroclastic
precar	precarious
preclasic	preclassical
psihoterapic	psychotherapeutic
saprofag	saprophagous
scatofag	scatophagous
scizipar	scissiparous
termostatic	thermostatic
vomitiv	emetic
xilofag	xylophagous
zoofag	zoophagous
zoolatru	zoolatrous
acvifer	aquiferous
aerifer	aeriferous
fitogen	phytogenic
fosilifer	fossiliferous
gazifer	gasiferous
imunogen	immunogenic
polinifer	polleniferous
sporifer	sporiferous
uranifer	uraniferous
antepenultim	antepenultimate
apiretic	afebrile
aristotelic	Aristotelian
confederativ	confederate
contractil	contractile
disproporțional	disproportionate
ductil	ductile
erectil	erectile
ignifug	fireproof
ilegitim	illegitimate
inesențial	nonessential
mauresc	Moorish
nubil	nubile
opiaceu	opiate
prehensil	prehensile
protocarburat	protocarbure
retractil	retractile
saxatil	saxatile
sesil	sessile
tactil	tactile
termolabil	thermolabile
uniparipenat	uniparipinnate
vibratil	vibratile
hipiot	hippie
mangaliot	native or resident of Mangalia
șaorma	shawarma, doner kebab
șaormerie	shawarma shop
adulterin	adulterine
alpestru	alpine
benedictin	Benedictine
consangvin	consanguine
criselefantin	chryselephantine
diamantin	adamantine
extrafin	superfine
hialin	hyaline
incorect	incorrect
labirintic	labyrinthine
lacustru	lacustrine
leonin	leonine
sibilin	sibylline
transmarin	transmarine
veritabil	genuine
uzitat	customary
vanilat	vanilla-flavored
victorian	Victorian
ocurent	occurrent
olograf	holograph
omoform	homoform
optim	optimum
panafrican	Pan-African
preuman	prehuman
rarisim	extremely rare
rectiliniu	straight
samoed	Samoyed
sanguinar	bloodthirsty
sferoidal	spheroidal
silențios	quiet
sociabil	sociable
tț	tsk tsk, tut tut; expressing disapproval or wonder
guiț	squeak
cucurigu	cock-a-doodle-doo
cip-cirip	chirp
chiț	mouse squeak
cri-cri	chirrup
orac	ribbit; a sound of a frog
pu-pup	hoopoe's call
pu-pu-pup	hoopoe's call
cața	magpie's call
cotcodac	a hen's cluck after laying an egg
mihoho	neigh
mor-mor	sound made by a bear
cirip	chirp
schelălău	sound made by multiple dogs barking at once
fâl	flap; sound made by a bird's wings
fâl-fâl	flap; sound made by a bird's wings
țiț	mouse squeak
ronț	crunch; the sound made when eating noisily (especially a mouse)
pionc	the cry made by a turkey
pichiri	the cry of a guinea fowl
pri-prip	the cry of a starling
țâr	chirrup
urlup	the sound made by a pigeon
zbâr	the sound made by a bird's or an insect's flight
glu-glu-glu	Gobble: the cry of a turkey.
andosant	endorser
arivist	arriviste
colocatar	cotenant
donatar	grantee
sonetist	sonneteer
aluniș	hazel groves
aheean	Achaean
ambuscat	ambushed
amplu	roomy
baroc	baroque
bivalv	bivalve
brumos	brumous
carierist	careerist
carnasier	carnivorous
centuplu	centuple
demențial	insane
fantezist	imaginary
fantezist	fanciful
granulos	granulous
grizonant	greyish
gurmand	eater
ilicit	illicit
imatur	immature
impudic	unchaste
inabil	gauche
inedit	novel
inexpresiv	expressionless
infatigabil	unwearied
inoportun	ill-timed
insesizabil	elusive
interminabil	never-ending
ipotecar	mortgaged
majoritar	majority
monarhic	monarchic
onorar	honorarium
tiroid	thyroid
zebrat	streaked
consângean	consanguineous
iberic	Iberian
latinoamerican	Latin American
merovingian	Merovingian
meschin	small-minded
mesianic	messianic
mesopotamian	Mesopotamian
mesopotamian	Mesopotamian
nonșalant	nonchalant
odoriferant	sweet-smelling
ondulos	billowy
postiș	postiche
scleros	sclerotic
sentențios	sententious
sinistrat	disaster victim
sobru	sober
stagiar	probationary
telefonic	telephonic
tigrat	tigerish, striped like a tiger
torid	torrid
vedic	Vedic
aprobativ	approving
autoșenilă	caterpillar vehicle
cosmopolit	cosmopolitan
crocant	crispy
diecezan	diocesan
difuz	diffused
ecvestru	equestrian
egeean	Aegean
elisabetan	Elizabethan
epuizant	gruelling
flasc	floppy
melancolic	melancholic
romanesc	Romanesque
rugos	rough
triplu	triple
aducție	adduction
arabesc	arabesque
arierate	arrear
arpentaj	survey
